O,A-1,A-2,A-3,A-4,A-5,A-all,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-all
1.485714286,-0.171428571,-0.457142857,-0.4,-0.285714286,-0.514285714,1.857142857,-0.857142857,-0.485714286,-0.514285714,-0.828571429,-0.828571429,-0.485714286,-0.714285714,-0.314285714,1.4
1.485714286,-0.571428571,-0.571428571,-0.4,-0.628571429,-0.8,1.942857143,-0.771428571,-0.685714286,-0.514285714,-0.828571429,-1.0,-0.6,-0.771428571,-0.285714286,1.428571429
1.5,-0.307692308,-0.153846154,-0.5,-0.576923077,-0.461538462,1.769230769,-0.807692308,-0.615384615,-0.692307692,-0.384615385,-0.653846154,-0.576923077,-0.576923077,-0.153846154,1.461538462
1.5,-0.071428571,-0.071428571,-0.071428571,0.035714286,-0.25,1.964285714,-0.821428571,-0.535714286,-0.642857143,-0.642857143,-0.428571429,-0.107142857,-0.642857143,-0.75,1.178571429
1.5,-0.384615385,-0.5,-0.884615385,-0.807692308,-0.615384615,1.769230769,-0.653846154,-0.346153846,-0.538461538,-0.269230769,-0.192307692,-0.615384615,-0.5,-0.038461538,1.461538462
1.5,-0.411764706,-0.382352941,-0.705882353,-0.588235294,-0.294117647,1.647058824,-0.735294118,-0.470588235,-0.647058824,-0.676470588,-0.441176471,-0.5,-0.617647059,-0.323529412,1.470588235
1.529411765,-0.441176471,-0.529411765,-0.470588235,-0.558823529,-0.558823529,1.735294118,-0.676470588,-0.529411765,-0.5,-0.5,-0.588235294,-0.529411765,-0.382352941,-0.029411765,1.617647059
1.535714286,-0.571428571,-0.464285714,-0.142857143,-0.107142857,-0.642857143,1.607142857,-0.857142857,-0.535714286,-0.571428571,-0.714285714,-0.821428571,-0.285714286,-0.642857143,-0.5,1.464285714
1.542857143,-0.2,-0.571428571,-0.228571429,-0.342857143,-0.685714286,2.0,-0.828571429,-0.742857143,-0.371428571,-0.828571429,-0.685714286,-0.257142857,-0.514285714,-0.571428571,1.428571429
1.551724138,-0.448275862,-0.24137931,-0.620689655,-0.724137931,-0.103448276,1.896551724,-0.793103448,-0.724137931,-0.620689655,-0.482758621,-0.172413793,-0.448275862,-0.517241379,0.068965517,1.551724138
1.571428571,-0.107142857,-0.071428571,-0.107142857,-0.392857143,-0.285714286,2.214285714,-0.928571429,-0.642857143,-0.607142857,-0.357142857,-0.142857143,-0.392857143,-0.75,-0.535714286,1.357142857
1.576923077,-0.038461538,-0.115384615,-0.153846154,-0.5,-0.384615385,2.269230769,-0.961538462,-0.653846154,-0.730769231,-0.423076923,-0.730769231,-0.538461538,-0.653846154,-0.115384615,1.538461538
1.586206897,-0.24137931,-0.24137931,-0.620689655,-0.689655172,-0.344827586,1.724137931,-0.724137931,-0.413793103,-0.517241379,-0.413793103,-0.275862069,-0.655172414,-0.482758621,0.068965517,1.551724138
1.6,-0.885714286,-0.742857143,0.257142857,-0.257142857,-0.685714286,1.742857143,-0.514285714,-0.571428571,-0.514285714,-0.828571429,-0.828571429,-0.114285714,-0.4,-0.228571429,1.628571429
1.615384615,-0.307692308,-0.192307692,-0.423076923,-0.653846154,-0.307692308,2.038461538,-0.923076923,-0.730769231,-0.615384615,-0.307692308,-0.730769231,-0.5,-0.538461538,-0.115384615,1.576923077
1.620689655,-0.068965517,-0.068965517,-0.172413793,-0.413793103,-0.448275862,2.034482759,-0.75862069,-0.310344828,-0.413793103,-0.517241379,-0.931034483,-0.379310345,-0.517241379,-0.034482759,1.620689655
1.642857143,-0.464285714,-0.321428571,-0.607142857,-0.785714286,-0.357142857,1.714285714,-0.607142857,-0.428571429,-0.285714286,-0.142857143,-0.142857143,-0.285714286,-0.392857143,0.178571429,1.678571429
1.642857143,-0.357142857,-0.392857143,-0.25,-0.392857143,-0.75,2.107142857,-0.678571429,-0.428571429,-0.5,-0.428571429,-0.964285714,-0.25,-0.607142857,-0.142857143,1.5
1.647058824,-0.470588235,-0.323529412,-0.647058824,-0.735294118,-0.5,1.794117647,-0.852941176,-0.529411765,-0.647058824,-0.617647059,-0.676470588,-0.441176471,-0.529411765,-0.294117647,1.588235294
1.657142857,-0.057142857,-0.371428571,-0.028571429,-0.171428571,-0.542857143,1.942857143,-0.914285714,-0.771428571,-0.171428571,-0.6,-0.885714286,-0.228571429,-0.485714286,-0.428571429,1.457142857
1.657142857,-0.057142857,-0.142857143,-0.314285714,-0.228571429,-0.571428571,2.057142857,-0.857142857,-0.542857143,-0.8,-0.714285714,-0.828571429,-0.171428571,-0.714285714,-0.4,1.514285714
1.678571429,-0.214285714,-0.321428571,-0.535714286,-0.678571429,-0.5,2.0,-0.642857143,-0.428571429,-0.357142857,-0.392857143,-0.25,-0.678571429,-0.464285714,0.071428571,1.642857143
1.685714286,-0.142857143,-0.228571429,-0.314285714,-0.4,-0.428571429,2.028571429,-0.914285714,-0.657142857,-0.514285714,-0.742857143,-0.828571429,-0.628571429,-0.685714286,-0.228571429,1.542857143
1.689655172,-0.448275862,-0.413793103,-0.275862069,-0.551724138,-0.620689655,1.931034483,-0.75862069,-0.586206897,-0.344827586,-0.413793103,-0.655172414,-0.551724138,-0.310344828,-0.068965517,1.655172414
1.692307692,-0.423076923,-0.115384615,-0.5,-0.576923077,-0.653846154,1.923076923,-0.615384615,-0.461538462,-0.346153846,-0.692307692,-0.692307692,-0.615384615,-0.461538462,-0.153846154,1.576923077
1.692307692,-0.269230769,-0.115384615,-0.307692308,-0.192307692,-0.153846154,2.0,-0.730769231,-0.461538462,-0.5,-0.307692308,-0.230769231,-0.538461538,-0.5,-0.153846154,1.538461538
1.714285714,-0.657142857,-0.571428571,-0.342857143,-0.514285714,-0.428571429,1.914285714,-0.571428571,-0.4,-0.2,-0.514285714,-0.114285714,-0.028571429,-0.057142857,0.342857143,1.857142857
1.714285714,-0.028571429,-0.2,-0.514285714,-0.4,-0.6,2.257142857,-0.828571429,-0.714285714,-0.6,-0.657142857,-0.885714286,-0.6,-0.514285714,0.0,1.542857143
1.714285714,-0.428571429,-0.357142857,-0.428571429,-0.821428571,-0.357142857,1.821428571,-0.642857143,-0.464285714,-0.535714286,-0.321428571,-0.357142857,-0.75,-0.5,-0.285714286,1.678571429
1.730769231,-0.153846154,-0.038461538,-0.307692308,-0.461538462,-0.153846154,2.346153846,-0.807692308,-0.384615385,-0.576923077,-0.384615385,-0.384615385,-0.576923077,-0.5,-0.115384615,1.615384615
1.730769231,-0.307692308,0.038461538,-0.846153846,-0.576923077,-0.230769231,2.038461538,-0.538461538,-0.192307692,-0.461538462,-0.153846154,0.269230769,-0.346153846,-0.423076923,0.038461538,2.038461538
1.735294118,-0.205882353,0.058823529,-0.705882353,-0.588235294,-0.176470588,2.0,-0.617647059,-0.235294118,-0.323529412,-0.058823529,0.058823529,-0.411764706,-0.382352941,0.088235294,1.852941176
1.75,-0.178571429,-0.321428571,-0.714285714,-0.821428571,-0.214285714,1.928571429,-0.571428571,-0.25,-0.392857143,-0.285714286,-0.357142857,-0.571428571,-0.142857143,0.25,1.892857143
1.75,0.0,-0.142857143,-0.178571429,-0.642857143,-0.285714286,2.178571429,-0.714285714,-0.607142857,-0.5,-0.392857143,-0.214285714,-0.892857143,-0.535714286,0.0,1.571428571
1.75,0.214285714,-0.071428571,0.178571429,0.142857143,-0.214285714,2.535714286,-0.928571429,-0.571428571,-0.571428571,-0.714285714,-0.357142857,-0.214285714,-0.642857143,0.142857143,1.678571429
1.75,-0.25,-0.25,-0.392857143,-0.714285714,-0.357142857,1.857142857,-0.678571429,-0.285714286,-0.5,-0.464285714,-0.214285714,-0.535714286,-0.5,0.107142857,1.678571429
1.769230769,-0.384615385,-0.384615385,-0.307692308,-0.653846154,-0.615384615,1.961538462,-0.730769231,-0.461538462,-0.115384615,-0.384615385,-0.807692308,-0.461538462,-0.384615385,-0.192307692,1.769230769
1.771428571,-0.6,-0.371428571,-0.428571429,-0.6,-0.314285714,1.885714286,-0.485714286,-0.342857143,-0.285714286,-0.228571429,-0.142857143,-0.6,-0.228571429,0.085714286,1.857142857
1.771428571,-0.485714286,-0.514285714,0.0,-0.114285714,-0.942857143,2.142857143,-0.228571429,-0.4,-0.085714286,-0.485714286,-1.0,-0.342857143,-0.085714286,-0.314285714,1.542857143
1.793103448,-0.275862069,-0.310344828,-0.344827586,-0.310344828,-0.517241379,2.0,-0.75862069,-0.344827586,-0.310344828,-0.379310345,-0.689655172,-0.413793103,-0.448275862,-0.172413793,1.827586207
1.793103448,-0.275862069,-0.103448276,-0.413793103,-0.655172414,-0.275862069,2.137931034,-0.896551724,-0.482758621,-0.344827586,-0.103448276,-0.310344828,-0.482758621,-0.172413793,0.172413793,1.827586207
1.793103448,-0.275862069,-0.172413793,-0.24137931,-0.551724138,-0.206896552,2.24137931,-0.724137931,-0.24137931,-0.379310345,-0.482758621,-0.793103448,-0.068965517,-0.379310345,-0.137931034,1.724137931
1.794117647,-0.205882353,-0.382352941,-0.264705882,-0.294117647,-0.411764706,2.117647059,-0.617647059,-0.235294118,-0.588235294,-0.441176471,-0.441176471,-0.382352941,-0.352941176,-0.147058824,1.823529412
1.794117647,-0.323529412,-0.264705882,-0.382352941,-0.411764706,-0.205882353,1.882352941,-0.588235294,-0.294117647,-0.558823529,-0.411764706,-0.264705882,-0.382352941,-0.529411765,0.029411765,1.764705882
1.794117647,-0.588235294,-0.529411765,-0.411764706,-0.441176471,-0.441176471,1.882352941,-0.235294118,-0.147058824,-0.088235294,-0.029411765,-0.411764706,-0.205882353,-0.088235294,-0.147058824,1.941176471
1.794117647,-0.5,-0.411764706,-0.705882353,-0.735294118,-0.5,2.029411765,-0.735294118,-0.411764706,-0.588235294,-0.294117647,-0.205882353,-0.382352941,-0.529411765,-0.147058824,1.705882353
1.8,-0.428571429,-0.4,-0.485714286,-0.8,-0.371428571,1.914285714,-0.685714286,-0.485714286,-0.371428571,-0.457142857,-0.257142857,-0.714285714,-0.428571429,-0.028571429,1.714285714
1.8,-0.285714286,-0.4,-0.257142857,-0.428571429,-0.628571429,2.0,-0.4,-0.342857143,-0.342857143,-0.657142857,-0.514285714,-0.571428571,-0.285714286,-0.628571429,1.8
1.8,-0.057142857,0.0,0.057142857,-0.228571429,-0.142857143,2.342857143,-0.742857143,-0.6,-0.485714286,-0.657142857,-0.857142857,-0.571428571,-0.6,0.057142857,1.685714286
1.807692308,-0.346153846,-0.692307692,-0.192307692,-0.346153846,-0.269230769,2.038461538,-0.384615385,-0.269230769,-0.346153846,0.0,-0.730769231,-0.307692308,-0.153846154,-0.076923077,1.692307692
1.807692308,-0.423076923,-0.230769231,-0.461538462,-0.653846154,-0.269230769,2.076923077,-0.807692308,-0.653846154,-0.653846154,-0.346153846,-0.115384615,-0.692307692,-0.538461538,0.115384615,1.653846154
1.807692308,-0.269230769,-0.538461538,-0.230769231,-0.192307692,-0.269230769,2.076923077,-0.769230769,-0.384615385,-0.384615385,-0.269230769,-0.576923077,-0.615384615,-0.461538462,-0.384615385,1.653846154
1.807692308,0.038461538,-0.192307692,-0.269230769,-0.5,-0.307692308,2.192307692,-0.615384615,-0.615384615,-0.5,-0.384615385,-0.423076923,-0.461538462,-0.384615385,-0.346153846,1.730769231
1.807692308,-0.576923077,-0.346153846,-0.461538462,-0.769230769,-0.269230769,2.0,-0.692307692,-0.269230769,-0.153846154,-0.307692308,-0.615384615,-0.307692308,-0.307692308,0.269230769,1.769230769
1.823529412,-0.235294118,-0.294117647,-0.794117647,-0.676470588,-0.088235294,1.941176471,-0.617647059,-0.441176471,-0.529411765,-0.294117647,0.205882353,-0.588235294,-0.294117647,0.117647059,1.852941176
1.846153846,-0.115384615,-0.153846154,0.230769231,0.153846154,-0.615384615,2.461538462,-0.615384615,-0.423076923,-0.461538462,-0.5,-0.961538462,-0.192307692,-0.461538462,-0.076923077,1.615384615
1.852941176,-0.352941176,-0.205882353,-0.323529412,-0.588235294,-0.117647059,2.088235294,-0.617647059,-0.205882353,-0.441176471,-0.5,-0.117647059,-0.352941176,-0.352941176,-0.294117647,1.823529412
1.857142857,-0.392857143,-0.071428571,-0.285714286,-0.321428571,-0.535714286,2.035714286,-0.285714286,-0.321428571,-0.428571429,-0.642857143,-0.392857143,-0.464285714,-0.25,0.178571429,1.857142857
1.857142857,-0.2,-0.085714286,-0.4,-0.428571429,-0.457142857,2.142857143,-0.685714286,-0.314285714,-0.485714286,-0.371428571,-0.742857143,-0.342857143,-0.542857143,-0.457142857,1.828571429
1.857142857,-0.285714286,-0.257142857,-0.571428571,-0.8,-0.314285714,2.285714286,-0.657142857,-0.8,-0.285714286,-0.485714286,-0.514285714,-0.514285714,-0.285714286,0.2,1.714285714
1.857142857,0.142857143,-0.2,-0.171428571,-0.6,-0.714285714,2.285714286,-0.742857143,-0.514285714,-0.6,-0.657142857,-0.771428571,-0.542857143,-0.514285714,-0.285714286,1.628571429
1.857142857,-0.321428571,-0.178571429,-0.607142857,-0.5,-0.5,1.892857143,-0.678571429,-0.642857143,-0.392857143,-0.5,-0.107142857,-0.607142857,-0.392857143,-0.071428571,1.785714286
1.862068966,-0.206896552,-0.24137931,-0.655172414,-0.655172414,-0.586206897,2.068965517,-0.620689655,-0.344827586,-0.551724138,-0.379310345,-0.206896552,-0.448275862,-0.655172414,-0.206896552,1.724137931
1.862068966,-0.379310345,-0.275862069,-0.448275862,-0.413793103,-0.344827586,1.896551724,-0.689655172,-0.517241379,-0.413793103,-0.482758621,-0.586206897,-0.551724138,-0.413793103,-0.172413793,1.862068966
1.862068966,-0.379310345,-0.137931034,-0.448275862,-0.413793103,-0.448275862,2.068965517,-0.586206897,-0.379310345,-0.448275862,-0.344827586,-0.655172414,-0.413793103,-0.448275862,-0.137931034,1.689655172
1.862068966,-0.551724138,-0.379310345,-0.344827586,-0.172413793,-0.655172414,2.137931034,-0.275862069,-0.310344828,-0.206896552,-0.206896552,-0.586206897,-0.034482759,-0.344827586,-0.068965517,1.724137931
1.882352941,-0.235294118,-0.147058824,0.058823529,-0.205882353,-0.294117647,2.117647059,-0.558823529,-0.176470588,-0.382352941,-0.5,-0.029411765,-0.205882353,-0.352941176,0.117647059,1.735294118
1.884615385,-0.692307692,-0.346153846,-0.307692308,-0.269230769,-0.192307692,1.846153846,-0.653846154,-0.346153846,-0.5,-0.384615385,-0.153846154,-0.192307692,-0.423076923,-0.076923077,1.923076923
1.884615385,-0.076923077,-0.115384615,-0.384615385,-0.576923077,-0.076923077,2.038461538,-0.730769231,-0.423076923,-0.346153846,-0.230769231,-0.423076923,-0.615384615,-0.384615385,0.153846154,1.615384615
1.884615385,-0.692307692,-0.461538462,-0.269230769,-0.5,-0.692307692,1.884615385,-0.538461538,-0.538461538,-0.576923077,-0.769230769,-0.884615385,-0.576923077,-0.423076923,-0.346153846,1.884615385
1.884615385,-0.384615385,-0.461538462,-0.115384615,-0.230769231,-0.461538462,1.807692308,-0.153846154,-0.192307692,-0.307692308,-0.346153846,-0.384615385,-0.153846154,-0.115384615,0.076923077,2.192307692
1.884615385,-0.346153846,-0.153846154,-0.269230769,-0.230769231,-0.461538462,2.076923077,-0.423076923,-0.269230769,-0.192307692,-0.423076923,-0.653846154,-0.538461538,-0.423076923,-0.230769231,1.961538462
1.885714286,-0.457142857,-0.428571429,-0.485714286,-0.571428571,-0.371428571,2.171428571,-0.457142857,-0.342857143,-0.285714286,-0.314285714,-0.314285714,-0.514285714,-0.171428571,0.057142857,1.914285714
1.885714286,-0.057142857,0.114285714,0.142857143,0.142857143,0.057142857,2.4,-0.914285714,-0.457142857,-0.514285714,-0.371428571,0.114285714,0.085714286,-0.771428571,0.285714286,1.742857143
1.885714286,-0.314285714,-0.228571429,0.114285714,0.028571429,-0.342857143,2.514285714,-0.628571429,-0.342857143,-0.342857143,-0.714285714,-0.857142857,0.028571429,-0.342857143,0.2,1.857142857
1.892857143,-0.071428571,-0.107142857,0.035714286,-0.107142857,-0.25,2.428571429,-0.607142857,-0.178571429,-0.428571429,-0.285714286,-0.285714286,-0.321428571,-0.535714286,0.142857143,1.821428571
1.892857143,-0.178571429,-0.285714286,-0.392857143,-0.428571429,-0.321428571,2.107142857,-0.714285714,-0.392857143,-0.392857143,-0.5,-0.607142857,-0.464285714,-0.571428571,-0.464285714,1.785714286
1.892857143,-0.035714286,-0.071428571,-0.428571429,-0.535714286,-0.178571429,2.285714286,-0.678571429,-0.357142857,-0.464285714,-0.25,-0.321428571,-0.357142857,-0.428571429,0.035714286,1.714285714
1.896551724,0.172413793,0.103448276,0.0,-0.172413793,-0.206896552,2.344827586,-0.586206897,-0.275862069,-0.448275862,-0.482758621,-0.517241379,-0.275862069,-0.517241379,-0.172413793,1.724137931
1.896551724,0.068965517,0.206896552,-0.172413793,-0.517241379,0.068965517,2.310344828,-0.379310345,-0.24137931,-0.172413793,0.0,0.137931034,-0.862068966,0.103448276,0.379310345,1.862068966
1.911764706,-0.617647059,-0.529411765,-0.588235294,-0.588235294,-0.411764706,2.058823529,-0.617647059,-0.411764706,-0.382352941,-0.235294118,-0.294117647,-0.411764706,-0.382352941,0.029411765,2.0
1.914285714,-0.142857143,-0.171428571,-0.6,-0.457142857,-0.285714286,2.228571429,-0.542857143,-0.285714286,-0.257142857,-0.285714286,0.057142857,-0.742857143,0.0,0.285714286,1.914285714
1.914285714,-0.228571429,-0.371428571,-0.085714286,-0.542857143,-0.571428571,2.228571429,-0.457142857,-0.371428571,-0.314285714,-0.314285714,-0.371428571,-0.571428571,-0.142857143,0.114285714,1.885714286
1.914285714,-0.085714286,-0.257142857,-0.6,-0.771428571,-0.342857143,2.257142857,-0.485714286,-0.171428571,-0.4,-0.142857143,-0.371428571,-0.742857143,-0.257142857,0.228571429,1.942857143
1.914285714,-0.142857143,-0.142857143,-0.114285714,-0.114285714,-0.6,2.342857143,-0.714285714,-0.514285714,-0.4,-0.742857143,-0.771428571,-0.685714286,-0.514285714,-0.371428571,1.714285714
1.923076923,-0.076923077,-0.038461538,-0.576923077,-0.538461538,-0.076923077,2.230769231,-0.461538462,-0.576923077,-0.269230769,-0.153846154,-0.076923077,-0.346153846,-0.269230769,0.076923077,1.846153846
1.923076923,-0.346153846,-0.730769231,-0.230769231,-0.192307692,-0.307692308,2.0,-0.692307692,-0.346153846,-0.5,-0.115384615,-0.230769231,-0.269230769,-0.576923077,-0.230769231,1.923076923
1.923076923,-0.038461538,-0.153846154,0.076923077,0.076923077,0.076923077,2.384615385,-0.730769231,-0.115384615,-0.576923077,-0.269230769,0.076923077,-0.115384615,-0.615384615,0.192307692,1.730769231
1.923076923,0.115384615,-0.115384615,0.038461538,0.0,-0.269230769,2.461538462,-0.538461538,-0.423076923,-0.5,-0.384615385,-0.5,-0.384615385,-0.538461538,-0.346153846,1.807692308
1.931034483,-0.068965517,-0.275862069,-0.24137931,-0.620689655,-0.172413793,2.103448276,-0.448275862,-0.103448276,-0.24137931,-0.103448276,-0.586206897,-0.413793103,-0.206896552,0.068965517,1.862068966
1.931034483,-0.24137931,-0.137931034,-0.344827586,-0.586206897,-0.413793103,2.344827586,-0.517241379,-0.137931034,-0.137931034,-0.310344828,-0.827586207,-0.206896552,-0.172413793,0.034482759,1.965517241
1.931034483,0.103448276,0.103448276,0.103448276,-0.034482759,-0.137931034,2.551724138,-0.793103448,-0.379310345,-0.448275862,-0.448275862,-0.068965517,0.137931034,-0.689655172,-0.862068966,1.827586207
1.931034483,-0.103448276,-0.034482759,-0.206896552,-0.034482759,-0.517241379,2.275862069,-0.793103448,-0.482758621,-0.620689655,-0.793103448,-0.620689655,-0.413793103,-0.551724138,-0.137931034,1.75862069
1.931034483,-0.24137931,-0.310344828,-0.620689655,-0.551724138,-0.275862069,2.172413793,-0.724137931,-0.517241379,-0.620689655,-0.482758621,-0.344827586,-0.24137931,-0.551724138,-0.206896552,1.655172414
1.941176471,-0.382352941,-0.264705882,-0.5,-0.617647059,-0.088235294,1.941176471,-0.647058824,-0.352941176,-0.411764706,-0.294117647,-0.264705882,-0.294117647,-0.264705882,0.147058824,1.882352941
1.941176471,-0.235294118,-0.176470588,-0.029411765,-0.411764706,-0.323529412,2.235294118,-0.352941176,-0.205882353,-0.264705882,-0.529411765,-0.617647059,-0.323529412,-0.323529412,-0.294117647,1.617647059
1.941176471,-0.235294118,-0.205882353,-0.411764706,-0.411764706,-0.411764706,2.294117647,-0.352941176,-0.264705882,-0.205882353,-0.117647059,-0.647058824,-0.176470588,-0.264705882,0.029411765,1.911764706
1.942857143,-0.8,-0.6,-0.114285714,0.0,-0.6,2.171428571,-0.142857143,-0.314285714,-0.2,-0.028571429,-0.714285714,0.028571429,-0.057142857,0.285714286,1.942857143
1.942857143,-0.228571429,-0.171428571,-0.142857143,-0.314285714,-0.142857143,2.2,-0.8,-0.485714286,-0.457142857,-0.628571429,-0.457142857,-0.428571429,-0.628571429,-0.8,1.714285714
1.942857143,0.228571429,0.257142857,0.028571429,-0.057142857,-0.171428571,2.914285714,-0.857142857,-0.428571429,-0.542857143,-0.371428571,-0.4,-0.371428571,-0.542857143,-0.4,1.685714286
1.961538462,0.0,0.076923077,-0.5,-0.461538462,0.0,2.346153846,-0.769230769,-0.269230769,-0.615384615,-0.076923077,-0.346153846,-0.5,-0.230769231,0.153846154,1.923076923
1.961538462,-0.115384615,-0.538461538,0.0,-0.153846154,-0.423076923,2.192307692,-0.423076923,-0.115384615,-0.461538462,-0.115384615,-0.423076923,-0.230769231,-0.307692308,0.115384615,2.230769231
1.961538462,-0.115384615,-0.153846154,-0.038461538,0.076923077,-0.461538462,2.423076923,-0.346153846,-0.076923077,-0.307692308,-0.230769231,-0.692307692,0.038461538,-0.076923077,0.038461538,1.923076923
1.961538462,-0.538461538,-0.384615385,-0.653846154,-0.653846154,-0.423076923,1.961538462,-0.307692308,-0.192307692,-0.269230769,-0.307692308,-0.423076923,-0.307692308,-0.307692308,0.038461538,1.846153846
1.964285714,0.107142857,0.107142857,0.071428571,-0.035714286,-0.071428571,2.5,-0.785714286,-0.357142857,-0.428571429,-0.642857143,-0.214285714,-0.214285714,-0.428571429,-0.25,1.714285714
1.964285714,0.071428571,-0.107142857,0.178571429,-0.321428571,-0.535714286,2.571428571,-0.5,-0.071428571,-0.464285714,-0.178571429,-0.785714286,-0.785714286,-0.535714286,0.214285714,1.857142857
1.964285714,-0.142857143,-0.25,-0.464285714,-0.714285714,-0.392857143,2.392857143,-0.5,-0.357142857,-0.392857143,-0.357142857,-0.571428571,-0.678571429,-0.5,0.0,1.857142857
1.964285714,-0.25,-0.285714286,0.178571429,0.035714286,-0.107142857,2.035714286,-0.25,-0.071428571,-0.071428571,-0.035714286,-0.285714286,-0.107142857,-0.25,-0.071428571,2.0
1.965517241,-0.068965517,-0.206896552,-0.379310345,-0.482758621,-0.448275862,2.206896552,-0.724137931,-0.448275862,-0.413793103,-0.448275862,-0.75862069,-0.275862069,-0.517241379,-0.344827586,1.793103448
1.965517241,-0.103448276,-0.24137931,-0.75862069,-0.448275862,-0.413793103,2.413793103,-0.517241379,-0.172413793,-0.206896552,0.0,-0.379310345,-0.344827586,-0.103448276,0.172413793,2.0
1.970588235,-0.205882353,-0.323529412,-0.264705882,-0.235294118,-0.5,2.205882353,-0.5,-0.382352941,-0.441176471,-0.382352941,-0.705882353,-0.264705882,-0.147058824,-0.029411765,1.970588235
1.971428571,-0.028571429,-0.342857143,0.028571429,-0.571428571,-0.6,2.371428571,-0.6,-0.6,-0.485714286,-0.514285714,-0.942857143,-0.885714286,-0.428571429,0.028571429,1.685714286
